name,expr,ic_mean,ic_std,icir,t,ic_pos,t_h1,t_h2,n,abs_t,both_sig,same_sign,stable
SUMP10,"Sum(Greater($close-Ref($close, 1), 0), 10)/(Sum(Abs($close-R",-0.030985595544921668,0.1450822579528073,-0.21357260344680282,-10.822885189714446,0.39953271028037385,-9.280125032127087,-6.409237729008073,2568,10.822885189714446,True,True,True
SUMP20,"Sum(Greater($close-Ref($close, 1), 0), 20)/(Sum(Abs($close-R",-0.03180847082775071,0.15023496807308734,-0.2117248150395739,-10.729247703147472,0.40809968847352024,-8.9579816526886,-6.521932672312854,2568,10.729247703147472,True,True,True
RSV5,"($close-Min($low, 5))/(Max($high, 5)-Min($low, 5)+1e-12)",-0.0286047222546603,0.13697960540732684,-0.20882467991932377,-10.58434229877394,0.3954846243674582,-10.249547450287972,-5.437121626319379,2569,10.58434229877394,True,True,True
ROC10,"Ref($close, 10)/$close",0.03664517841345118,0.17567736632698192,0.2085936235248702,10.552033743540962,0.6029699101211411,9.7415643965706,5.450371673045622,2559,10.552033743540962,True,True,True
SUMD30,"(Sum(Greater($close-Ref($close, 1), 0), 30)-Sum(Greater(Ref(",-0.03398269586422196,0.16457846258085781,-0.206483250185462,-10.463629109212853,0.4100467289719626,-8.190759676447481,-6.767634521978351,2568,10.463629109212853,True,True,True
STD5,"Std($close, 5)/$close",-0.038943956182800665,0.18884005486503275,-0.20622720222483829,-10.450653766700905,0.39135514018691586,-6.86507069354007,-7.891755699228935,2568,10.450653766700905,True,True,True
SUMN5,"Sum(Greater(Ref($close, 1)-$close, 0), 5)/(Sum(Abs($close-Re",0.033625506076713454,0.164548779778337,0.2043497747112451,10.355514305441814,0.5860591900311527,8.940442754123605,5.684953356846849,2568,10.355514305441814,True,True,True
RSV10,"($close-Min($low, 10))/(Max($high, 10)-Min($low, 10)+1e-12)",-0.029046383735294088,0.1422274892923102,-0.20422482235903844,-10.351197121860597,0.39587388088750486,-10.07729133312617,-5.245718473264596,2569,10.351197121860597,True,True,True
SUMD10,"(Sum(Greater($close-Ref($close, 1), 0), 10)-Sum(Greater(Ref(",-0.03193572191707167,0.15682042966793822,-0.20364516271696517,-10.31980778412628,0.4084890965732087,-8.82387622245096,-5.973400759659695,2568,10.31980778412628,True,True,True
ROC20,"Ref($close, 20)/$close",0.036317878236507804,0.17793540552592738,0.20410709228532847,10.304881772920366,0.5916045508042369,9.021490113161814,5.819289775795235,2549,10.304881772920366,True,True,True
RSV30,"($close-Min($low, 30))/(Max($high, 30)-Min($low, 30)+1e-12)",-0.03101887158410893,0.1526466685884854,-0.20320700000162845,-10.299608486674687,0.4087193460490463,-9.118258898187301,-5.865091198215648,2569,10.299608486674687,True,True,True
SUMD20,"(Sum(Greater($close-Ref($close, 1), 0), 20)-Sum(Greater(Ref(",-0.03253365736383625,0.16047019857750913,-0.20273955944612412,-10.273915941869538,0.4135514018691589,-8.622309322744437,-6.106087306234963,2568,10.273915941869538,True,True,True
IMAX20,"IdxMax($high, 20)/20",-0.02484877798780678,0.12293244382541936,-0.20213360456004106,-10.243208912707638,0.41939252336448596,-8.140080219656642,-6.527919344976369,2568,10.243208912707638,True,True,True
MA60,"Mean($close, 60)/$close",0.038697882954473746,0.19157337391361665,0.20200032062870704,10.236454691130614,0.5868380062305296,8.577435258834655,6.102979970203253,2568,10.236454691130614,True,True,True
RSV20,"($close-Min($low, 20))/(Max($high, 20)-Min($low, 20)+1e-12)",-0.029776293050302306,0.14773104038276624,-0.2015574585622149,-10.216000978033897,0.4017127286882055,-9.18978143729112,-5.684056661268889,2569,10.216000978033897,True,True,True
IMAX30,"IdxMax($high, 30)/30",-0.02537175164352083,0.1263107719131236,-0.20086767944836478,-10.179057603404237,0.42017133956386293,-7.1857594130792055,-7.292921600685599,2568,10.179057603404237,True,True,True
IMAX10,"IdxMax($high, 10)/10",-0.023776218792316332,0.11907135479535319,-0.19968042551611423,-10.118892990563408,0.4088785046728972,-9.072739913659907,-5.623080397233382,2568,10.118892990563408,True,True,True
RSV60,"($close-Min($low, 60))/(Max($high, 60)-Min($low, 60)+1e-12)",-0.030828103003387407,0.15648609111823275,-0.1970021922273929,-9.985115920920606,0.4157259634098871,-8.25656204440892,-6.176751741663656,2569,9.985115920920606,True,True,True
CORR30,"Corr($close, Log($volume+1), 30)",-0.022095275133730476,0.11300930140084631,-0.1955173145912838,-9.907925521682463,0.4158878504672897,-7.855204022516149,-6.302931609606132,2568,9.907925521682463,True,True,True
BETA5,"Slope($close, 5)/$close",-0.03281199617488299,0.16849239526482557,-0.19473873656618862,-9.86847073937028,0.39797507788161995,-9.614635665667763,-4.644677583453555,2568,9.86847073937028,True,True,True
ROC30,"Ref($close, 30)/$close",0.035259252303166844,0.18241978773947887,0.19328633554558247,9.739406730619462,0.5868452146514376,8.061825875150422,5.959262615838804,2539,9.739406730619462,True,True,True
CNTD10,"Mean($close>Ref($close, 1), 10)-Mean($close<Ref($close, 1), ",-0.023356168485277804,0.12297152934930253,-0.18993151186185744,-9.62486252269611,0.4069314641744548,-9.474644475585004,-4.768605474588807,2568,9.62486252269611,True,True,True
RESI60,"Resi($close, 60)/$close",-0.03178345969536895,0.16813611222004607,-0.18903410621135772,-9.57752077155997,0.40553174912349044,-9.315558742080263,-4.728956106732614,2567,9.57752077155997,True,True,True
CNTP10,"Mean($close>Ref($close, 1), 10)",-0.023220125335027344,0.12318907112521849,-0.18849176410644974,-9.551902674815585,0.4088785046728972,-7.37294790351846,-6.191898557381886,2568,9.551902674815585,True,True,True
STD10,"Std($close, 10)/$close",-0.03803592934541882,0.20289821811805,-0.18746310193463012,-9.499774768871978,0.40809968847352024,-5.3940617316108215,-7.983669069859145,2568,9.499774768871978,True,True,True
IMXD10,"(IdxMax($high, 10)-IdxMin($low, 10))/10",-0.02581563983194801,0.13833181347745707,-0.1866211335121042,-9.457107650415313,0.42133956386292837,-8.584094089159429,-5.0869023264548705,2568,9.457107650415313,True,True,True
CNTN5,"Mean($close<Ref($close, 1), 5)",0.0262711365148568,0.14259299744347623,0.18423861610224346,9.336372537515679,0.5767133956386293,8.431783639390781,4.664660548873461,2568,9.336372537515679,True,True,True
IMXD20,"(IdxMax($high, 20)-IdxMin($low, 20))/20",-0.02578369366892236,0.1406837854885368,-0.18327409643823714,-9.287495081239493,0.4217289719626168,-7.786814308293138,-5.545578691963467,2568,9.287495081239493,True,True,True
SUMN30,"Sum(Greater(Ref($close, 1)-$close, 0), 30)/(Sum(Abs($close-R",0.03116897453845438,0.1718659504590247,0.1813563097007136,9.190310398636958,0.5708722741433022,6.529731356195406,6.472430272144549,2568,9.190310398636958,True,True,True
WVMA10,"Std(Abs($close/Ref($close, 1)-1)*$volume, 10)/(Mean(Abs($clo",-0.013947055521832804,0.07721658271056818,-0.18062254288189256,-9.151344119505609,0.4020257109466303,-6.625394847347972,-6.394706374205119,2567,9.151344119505609,True,True,True
QTLU20,"Quantile($close, 20, 0.8)/$close",0.03444125527197061,0.19272768925475825,0.17870424019064657,9.055915615039412,0.5802180685358256,8.519315040510195,4.3403370706206115,2568,9.055915615039412,True,True,True
WVMA20,"Std(Abs($close/Ref($close, 1)-1)*$volume, 20)/(Mean(Abs($clo",-0.0136337543276984,0.0764825555259911,-0.17825965978693317,-9.031627300269623,0.4000779119594858,-6.339550346413095,-6.474573039655173,2567,9.031627300269623,True,True,True
IMXD30,"(IdxMax($high, 30)-IdxMin($low, 30))/30",-0.02551755764689547,0.14325345228065092,-0.1781287448270599,-9.026752135516334,0.4302959501557632,-6.900465338718196,-6.015841534251952,2568,9.026752135516334,True,True,True
QTLU30,"Quantile($close, 30, 0.8)/$close",0.0347969919958816,0.19575926954938533,0.17775399385163296,9.007761465756625,0.5763239875389408,8.233528548837748,4.588333211333215,2568,9.007761465756625,True,True,True
BETA10,"Slope($close, 10)/$close",-0.03069052633631394,0.17328018973327547,-0.17711503192346953,-8.975381790285592,0.41939252336448596,-8.502840595021219,-4.4507869198109535,2568,8.975381790285592,True,True,True
SUMP60,"Sum(Greater($close-Ref($close, 1), 0), 60)/(Sum(Abs($close-R",-0.027952735754336655,0.1582061901915701,-0.17668547431986703,-8.953613770646703,0.4217289719626168,-6.805627491389869,-6.083494701667609,2568,8.953613770646703,True,True,True
VSTD20,"Std($volume, 20)/($volume+1e-12)",0.015916423732417553,0.09027647656691823,0.17630754253705685,8.934461912080172,0.5829439252336449,10.027848582536176,3.105632569416431,2568,8.934461912080172,True,True,True
SUMN20,"Sum(Greater(Ref($close, 1)-$close, 0), 20)/(Sum(Abs($close-R",0.02963460540818617,0.1687577028055013,0.17560446080698913,8.898832937573598,0.5681464174454829,6.785368167021609,5.8131011611683645,2568,8.898832937573598,True,True,True
RESI20,"Resi($close, 20)/$close",-0.026600425727799342,0.15516840117243252,-0.17142939881322447,-8.685568233670667,0.4203350214257889,-8.370370120839729,-4.159133412583398,2567,8.685568233670667,True,True,True
SUMN10,"Sum(Greater(Ref($close, 1)-$close, 0), 10)/(Sum(Abs($close-R",0.02872452006224505,0.16809549680504582,0.1708821509689771,8.659527818929046,0.5743769470404985,6.596265276821155,5.64537037813967,2568,8.659527818929046,True,True,True
RESI30,"Resi($close, 30)/$close",-0.0271479067006938,0.15890762277564008,-0.17084080817836933,-8.65574695356279,0.41488118426178416,-8.55955842198927,-4.031786921161589,2567,8.65574695356279,True,True,True
QTLU10,"Quantile($close, 10, 0.8)/$close",0.03207421131376607,0.18849731965923588,0.1701573867031616,8.622800072430032,0.5747663551401869,8.991319107236555,3.305757841510861,2568,8.622800072430032,True,True,True
SUMD60,"(Sum(Greater($close-Ref($close, 1), 0), 60)-Sum(Greater(Ref(",-0.028429845503540423,0.1684438397019948,-0.1687793721268617,-8.55296858042988,0.4295171339563863,-6.4678321841341315,-5.762094753172041,2568,8.55296858042988,True,True,True
BETA20,"Slope($close, 20)/$close",-0.027738058965628795,0.17673029975954538,-0.1569513490520215,-7.953578332362905,0.4279595015576324,-6.651224605631685,-4.697338137260192,2568,7.953578332362905,True,True,True
QTLU60,"Quantile($close, 60, 0.8)/$close",0.031044757912839144,0.19884351815958204,0.15612657732159088,7.911782663807522,0.5638629283489096,6.760180739336483,4.5270323949450315,2568,7.911782663807522,True,True,True
QTLU5,"Quantile($close, 5, 0.8)/$close",0.027861419280370656,0.18025596080592043,0.15456586931052302,7.832693102010508,0.5755451713395638,8.216674213280102,3.0071517459921497,2568,7.832693102010508,True,True,True
CNTP20,"Mean($close>Ref($close, 1), 20)",-0.01977354029834369,0.1281912218313444,-0.15425034581820957,-7.816703810889577,0.4252336448598131,-5.6734644573068405,-5.388667961021388,2568,7.816703810889577,True,True,True
CNTD20,"Mean($close>Ref($close, 1), 20)-Mean($close<Ref($close, 1), ",-0.019038616891711595,0.12512867592108073,-0.1521523084262423,-7.7103848474526515,0.4287383177570093,-7.716152704279605,-3.7268347604220393,2568,7.7103848474526515,True,True,True
IMIN5,"IdxMin($low, 5)/5",0.020485393447817624,0.13490841330204134,0.15184667098525317,7.694896536311061,0.55101246105919,6.68837201518148,4.174537362209067,2568,7.694896536311061,True,True,True
STD20,"Std($close, 20)/$close",-0.03183091072096955,0.2137676993872301,-0.1489042114978716,-7.545786113469544,0.41783489096573206,-3.768814113398592,-6.839879242213737,2568,7.545786113469544,True,True,True
SUMN60,"Sum(Greater(Ref($close, 1)-$close, 0), 60)/(Sum(Abs($close-R",0.02591729372550148,0.174264236320068,0.14872411157215099,7.536659470879189,0.5529595015576324,5.126663259432056,5.525756762166465,2568,7.536659470879189,True,True,True
VSTD5,"Std($volume, 5)/($volume+1e-12)",-0.010528607207636997,0.07081504034106924,-0.14867755715350378,-7.534300305330982,0.43068535825545173,-5.30470074704284,-5.348559474770912,2568,7.534300305330982,True,True,True
WVMA30,"Std(Abs($close/Ref($close, 1)-1)*$volume, 30)/(Mean(Abs($clo",-0.011580213763985834,0.07804292145575613,-0.14838262776401645,-7.5178904380332,0.4222828204129334,-5.041356479129636,-5.63554687730434,2567,7.5178904380332,True,True,True
ROC60,"Ref($close, 60)/$close",0.027484719466816448,0.18328725088564576,0.14995434398197374,7.511200965569477,0.5683539258668793,6.023492342338015,4.796214811030946,2509,7.511200965569477,True,True,True
BETA30,"Slope($close, 30)/$close",-0.026705212655122223,0.18060463170025437,-0.14786560235866095,-7.493154140598243,0.4252336448598131,-6.0144940080271985,-4.717261701726744,2568,7.493154140598243,True,True,True
CNTP30,"Mean($close>Ref($close, 1), 30)",-0.019277534359013755,0.13144192657051035,-0.1466619887732136,-7.4321604951688,0.4302959501557632,-4.687408504189602,-5.800095555544114,2568,7.4321604951688,True,True,True
WVMA5,"Std(Abs($close/Ref($close, 1)-1)*$volume, 5)/(Mean(Abs($clos",-0.01130764483023383,0.07749721063234241,-0.14591034616560428,-7.392630881244736,0.4078691079080639,-5.632313549104733,-4.8341878163567085,2567,7.392630881244736,True,True,True
