规则,级别,标的,数量,说明,样例
涨跌幅异常,可疑,002625.SZSE,15,15 根 K 线涨跌幅超过 15%（最大 60.8%），可能是复权跳变、停牌复牌或数据错误,2020-07-10 00:00:00; 2020-07-24 00:00:00; 2020-07-31 00:00:00; 2020-08-07 00:00:00; 2020-08-14 00:00:00
涨跌幅异常,可疑,002648.SZSE,8,8 根 K 线涨跌幅超过 15%（最大 22.5%），可能是复权跳变、停牌复牌或数据错误,2020-03-06 00:00:00; 2020-03-13 00:00:00; 2021-02-12 00:00:00; 2022-08-12 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,002709.SZSE,21,21 根 K 线涨跌幅超过 15%（最大 27.1%），可能是复权跳变、停牌复牌或数据错误,2020-02-07 00:00:00; 2020-02-28 00:00:00; 2020-07-10 00:00:00; 2020-09-18 00:00:00; 2020-10-30 00:00:00
涨跌幅异常,可疑,002714.SZSE,4,4 根 K 线涨跌幅超过 15%（最大 25.1%），可能是复权跳变、停牌复牌或数据错误,2021-01-08 00:00:00; 2021-02-05 00:00:00; 2021-02-12 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,002736.SZSE,1,1 根 K 线涨跌幅超过 15%（最大 15.5%），可能是复权跳变、停牌复牌或数据错误,2024-09-27 00:00:00
涨跌幅异常,可疑,002837.SZSE,26,26 根 K 线涨跌幅超过 15%（最大 60.0%），可能是复权跳变、停牌复牌或数据错误,2020-01-17 00:00:00; 2020-02-21 00:00:00; 2020-07-10 00:00:00; 2021-07-30 00:00:00; 2021-08-06 00:00:00
涨跌幅异常,可疑,002916.SZSE,20,20 根 K 线涨跌幅超过 15%（最大 31.0%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2020-03-20 00:00:00; 2020-09-11 00:00:00; 2021-01-08 00:00:00; 2021-06-25 00:00:00
涨跌幅异常,可疑,002920.SZSE,16,16 根 K 线涨跌幅超过 15%（最大 25.7%），可能是复权跳变、停牌复牌或数据错误,2020-07-10 00:00:00; 2021-01-01 00:00:00; 2021-01-15 00:00:00; 2021-01-22 00:00:00; 2022-02-11 00:00:00
涨跌幅异常,可疑,002938.SZSE,9,9 根 K 线涨跌幅超过 15%（最大 23.0%），可能是复权跳变、停牌复牌或数据错误,2020-02-28 00:00:00; 2020-06-05 00:00:00; 2020-09-18 00:00:00; 2021-06-25 00:00:00; 2023-03-24 00:00:00
涨跌幅异常,可疑,300014.SZSE,1,1 根 K 线涨跌幅超过 30%（最大 35.4%），可能是复权跳变、停牌复牌或数据错误,2025-09-05 00:00:00
涨跌幅异常,可疑,300015.SZSE,1,1 根 K 线涨跌幅超过 30%（最大 34.0%），可能是复权跳变、停牌复牌或数据错误,2024-09-27 00:00:00
涨跌幅异常,可疑,300033.SZSE,3,3 根 K 线涨跌幅超过 30%（最大 50.6%），可能是复权跳变、停牌复牌或数据错误,2023-03-24 00:00:00; 2024-09-27 00:00:00; 2024-11-08 00:00:00
涨跌幅异常,可疑,300059.SZSE,1,1 根 K 线涨跌幅超过 30%（最大 55.9%），可能是复权跳变、停牌复牌或数据错误,2024-09-27 00:00:00
涨跌幅异常,可疑,300122.SZSE,1,1 根 K 线涨跌幅超过 30%（最大 30.2%），可能是复权跳变、停牌复牌或数据错误,2024-09-27 00:00:00
涨跌幅异常,可疑,300251.SZSE,3,3 根 K 线涨跌幅超过 30%（最大 140.2%），可能是复权跳变、停牌复牌或数据错误,2025-02-07 00:00:00; 2025-02-14 00:00:00; 2026-02-13 00:00:00
涨跌幅异常,可疑,300274.SZSE,2,2 根 K 线涨跌幅超过 30%（最大 38.3%），可能是复权跳变、停牌复牌或数据错误,2020-10-30 00:00:00; 2025-09-05 00:00:00
涨跌幅异常,可疑,300308.SZSE,3,3 根 K 线涨跌幅超过 30%（最大 50.0%），可能是复权跳变、停牌复牌或数据错误,2023-03-24 00:00:00; 2023-06-16 00:00:00; 2025-10-24 00:00:00
涨跌幅异常,可疑,300316.SZSE,1,1 根 K 线涨跌幅超过 30%（最大 31.7%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00
涨跌幅异常,可疑,300394.SZSE,4,4 根 K 线涨跌幅超过 30%（最大 60.4%），可能是复权跳变、停牌复牌或数据错误,2023-06-16 00:00:00; 2025-08-29 00:00:00; 2026-01-30 00:00:00; 2026-08-07 00:00:00
涨跌幅异常,可疑,300408.SZSE,1,1 根 K 线涨跌幅超过 30%（最大 33.0%），可能是复权跳变、停牌复牌或数据错误,2026-05-22 00:00:00
涨跌幅异常,可疑,300418.SZSE,3,3 根 K 线涨跌幅超过 30%（最大 47.5%），可能是复权跳变、停牌复牌或数据错误,2020-02-07 00:00:00; 2023-03-24 00:00:00; 2023-04-28 00:00:00
涨跌幅异常,可疑,300433.SZSE,1,1 根 K 线涨跌幅超过 30%（最大 33.8%），可能是复权跳变、停牌复牌或数据错误,2026-06-19 00:00:00
涨跌幅异常,可疑,300442.SZSE,5,5 根 K 线涨跌幅超过 30%（最大 43.7%），可能是复权跳变、停牌复牌或数据错误,2020-11-13 00:00:00; 2021-02-26 00:00:00; 2024-03-22 00:00:00; 2024-12-13 00:00:00; 2026-02-27 00:00:00
涨跌幅异常,可疑,300450.SZSE,1,1 根 K 线涨跌幅超过 30%（最大 48.7%），可能是复权跳变、停牌复牌或数据错误,2025-09-05 00:00:00
涨跌幅异常,可疑,300476.SZSE,2,2 根 K 线涨跌幅超过 30%（最大 46.2%），可能是复权跳变、停牌复牌或数据错误,2025-03-14 00:00:00; 2026-08-07 00:00:00
涨跌幅异常,可疑,300502.SZSE,4,4 根 K 线涨跌幅超过 30%（最大 44.2%），可能是复权跳变、停牌复牌或数据错误,2023-04-07 00:00:00; 2023-11-10 00:00:00; 2025-07-18 00:00:00; 2025-08-29 00:00:00
涨跌幅异常,可疑,300661.SZSE,1,1 根 K 线涨跌幅超过 30%（最大 30.7%），可能是复权跳变、停牌复牌或数据错误,2021-07-30 00:00:00
涨跌幅异常,可疑,300803.SZSE,3,3 根 K 线涨跌幅超过 30%（最大 74.9%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2024-09-27 00:00:00; 2025-06-27 00:00:00
涨跌幅异常,可疑,300832.SZSE,2,2 根 K 线涨跌幅超过 30%（最大 61.1%），可能是复权跳变、停牌复牌或数据错误,2020-05-22 00:00:00; 2020-05-29 00:00:00
涨跌幅异常,可疑,300896.SZSE,2,2 根 K 线涨跌幅超过 30%（最大 39.7%），可能是复权跳变、停牌复牌或数据错误,2021-02-12 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,300999.SZSE,2,2 根 K 线涨跌幅超过 30%（最大 33.9%），可能是复权跳变、停牌复牌或数据错误,2020-11-06 00:00:00; 2021-01-08 00:00:00
涨跌幅异常,可疑,301165.SZSE,4,4 根 K 线涨跌幅超过 30%（最大 48.4%），可能是复权跳变、停牌复牌或数据错误,2024-12-20 00:00:00; 2025-08-22 00:00:00; 2026-07-03 00:00:00; 2026-07-24 00:00:00
涨跌幅异常,可疑,301236.SZSE,2,2 根 K 线涨跌幅超过 30%（最大 33.1%），可能是复权跳变、停牌复牌或数据错误,2022-11-04 00:00:00; 2025-02-07 00:00:00
涨跌幅异常,可疑,301269.SZSE,2,2 根 K 线涨跌幅超过 30%（最大 68.0%），可能是复权跳变、停牌复牌或数据错误,2022-08-05 00:00:00; 2024-11-08 00:00:00
涨跌幅异常,可疑,301308.SZSE,1,1 根 K 线涨跌幅超过 30%（最大 32.5%），可能是复权跳变、停牌复牌或数据错误,2026-07-17 00:00:00
涨跌幅异常,可疑,302132.SZSE,12,12 根 K 线涨跌幅超过 15%（最大 144.8%），可能是复权跳变、停牌复牌或数据错误,2021-07-09 00:00:00; 2021-08-06 00:00:00; 2022-04-29 00:00:00; 2023-02-03 00:00:00; 2023-02-10 00:00:00
涨跌幅异常,可疑,600009.SSE,1,1 根 K 线涨跌幅超过 15%（最大 24.3%），可能是复权跳变、停牌复牌或数据错误,2021-02-05 00:00:00
涨跌幅异常,可疑,600010.SSE,8,8 根 K 线涨跌幅超过 15%（最大 29.9%），可能是复权跳变、停牌复牌或数据错误,2021-02-26 00:00:00; 2021-03-05 00:00:00; 2021-07-09 00:00:00; 2021-07-23 00:00:00; 2021-08-27 00:00:00
涨跌幅异常,可疑,600011.SSE,4,4 根 K 线涨跌幅超过 15%（最大 19.6%），可能是复权跳变、停牌复牌或数据错误,2020-08-21 00:00:00; 2021-09-03 00:00:00; 2021-09-24 00:00:00; 2021-12-03 00:00:00
涨跌幅异常,可疑,600025.SSE,2,2 根 K 线涨跌幅超过 15%（最大 24.6%），可能是复权跳变、停牌复牌或数据错误,2021-03-12 00:00:00; 2021-10-15 00:00:00
涨跌幅异常,可疑,600026.SSE,7,7 根 K 线涨跌幅超过 15%（最大 27.3%），可能是复权跳变、停牌复牌或数据错误,2020-03-13 00:00:00; 2022-07-22 00:00:00; 2022-09-23 00:00:00; 2022-10-21 00:00:00; 2022-12-02 00:00:00
涨跌幅异常,可疑,600027.SSE,2,2 根 K 线涨跌幅超过 15%（最大 16.8%），可能是复权跳变、停牌复牌或数据错误,2021-09-03 00:00:00; 2022-09-09 00:00:00
涨跌幅异常,可疑,600030.SSE,3,3 根 K 线涨跌幅超过 15%（最大 23.3%），可能是复权跳变、停牌复牌或数据错误,2020-07-03 00:00:00; 2024-09-27 00:00:00; 2024-11-08 00:00:00
涨跌幅异常,可疑,600031.SSE,1,1 根 K 线涨跌幅超过 15%（最大 18.8%），可能是复权跳变、停牌复牌或数据错误,2021-08-06 00:00:00
涨跌幅异常,可疑,600039.SSE,5,5 根 K 线涨跌幅超过 15%（最大 19.4%），可能是复权跳变、停牌复牌或数据错误,2021-03-19 00:00:00; 2021-10-22 00:00:00; 2021-10-29 00:00:00; 2022-10-21 00:00:00; 2024-10-18 00:00:00
涨跌幅异常,可疑,600048.SSE,1,1 根 K 线涨跌幅超过 15%（最大 16.2%），可能是复权跳变、停牌复牌或数据错误,2021-11-12 00:00:00
涨跌幅异常,可疑,600050.SSE,1,1 根 K 线涨跌幅超过 15%（最大 16.2%），可能是复权跳变、停牌复牌或数据错误,2023-03-03 00:00:00
涨跌幅异常,可疑,600061.SSE,3,3 根 K 线涨跌幅超过 15%（最大 22.7%），可能是复权跳变、停牌复牌或数据错误,2020-07-10 00:00:00; 2020-07-17 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,600066.SSE,1,1 根 K 线涨跌幅超过 15%（最大 15.1%），可能是复权跳变、停牌复牌或数据错误,2021-02-19 00:00:00
涨跌幅异常,可疑,600085.SSE,3,3 根 K 线涨跌幅超过 15%（最大 18.5%），可能是复权跳变、停牌复牌或数据错误,2021-05-28 00:00:00; 2024-02-02 00:00:00; 2024-09-27 00:00:00
涨跌幅异常,可疑,600089.SSE,8,8 根 K 线涨跌幅超过 15%（最大 39.7%），可能是复权跳变、停牌复牌或数据错误,2020-03-06 00:00:00; 2020-07-24 00:00:00; 2020-12-18 00:00:00; 2021-01-22 00:00:00; 2021-07-16 00:00:00
涨跌幅异常,可疑,600111.SSE,13,13 根 K 线涨跌幅超过 15%（最大 42.8%），可能是复权跳变、停牌复牌或数据错误,2020-07-10 00:00:00; 2020-08-07 00:00:00; 2021-01-22 00:00:00; 2021-07-09 00:00:00; 2021-07-23 00:00:00
涨跌幅异常,可疑,600115.SSE,1,1 根 K 线涨跌幅超过 15%（最大 15.1%），可能是复权跳变、停牌复牌或数据错误,2026-02-06 00:00:00
涨跌幅异常,可疑,600118.SSE,18,18 根 K 线涨跌幅超过 15%（最大 36.9%），可能是复权跳变、停牌复牌或数据错误,2020-01-24 00:00:00; 2020-02-07 00:00:00; 2020-02-28 00:00:00; 2021-01-08 00:00:00; 2021-01-29 00:00:00
涨跌幅异常,可疑,600150.SSE,3,3 根 K 线涨跌幅超过 15%（最大 19.2%），可能是复权跳变、停牌复牌或数据错误,2021-08-27 00:00:00; 2022-07-22 00:00:00; 2026-04-24 00:00:00
涨跌幅异常,可疑,600160.SSE,8,8 根 K 线涨跌幅超过 15%（最大 32.5%），可能是复权跳变、停牌复牌或数据错误,2020-02-21 00:00:00; 2021-07-09 00:00:00; 2021-07-16 00:00:00; 2021-08-27 00:00:00; 2021-11-05 00:00:00
涨跌幅异常,可疑,600176.SSE,8,8 根 K 线涨跌幅超过 15%（最大 36.4%），可能是复权跳变、停牌复牌或数据错误,2020-07-31 00:00:00; 2020-11-13 00:00:00; 2026-02-13 00:00:00; 2026-06-19 00:00:00; 2026-06-26 00:00:00
