day,symbol,side,entry_time,exit_time,entry_price,exit_price,volume,pnl,pnl_pct,reason
2025-11-18,300836.SZSE,sell,2025-11-17 11:25:00,2025-11-18 13:51:00,95.5462,96.1306,104,35.89,0.00612,模型转空
2025-11-18,605339.SSE,sell,2025-11-17 11:27:00,2025-11-18 14:04:00,20.47,20.4,459,-56.41,-0.00342,模型转空
2025-11-18,600756.SSE,sell,2025-11-17 11:03:00,2025-11-18 14:50:00,112.3466,123.7789,88,981.75,0.10176,尾盘平仓
2025-11-19,600376.SSE,sell,2025-11-18 10:59:00,2025-11-19 10:36:00,67.076,64.9466,146,-337.2,-0.03175,止损
2025-11-20,300324.SZSE,sell,2025-11-19 09:35:00,2025-11-20 09:35:00,153.7153,146.0173,62,-509.16,-0.05008,止损
2025-11-20,605339.SSE,sell,2025-11-19 09:35:00,2025-11-20 09:35:00,22.17,21.29,367,-345.38,-0.03969,止损
2025-11-20,600097.SSE,sell,2025-11-19 10:49:00,2025-11-20 10:41:00,21.7029,21.264,428,-212.09,-0.02022,止损
2025-11-20,002321.SZSE,sell,2025-11-19 14:00:00,2025-11-20 13:38:00,7.78,7.9459,1256,183.44,0.02133,模型转空
2025-11-21,000695.SZSE,sell,2025-11-20 10:46:00,2025-11-21 09:35:00,55.4507,49.9758,172,-968.5,-0.09873,止损
2025-11-21,301353.SZSE,sell,2025-11-20 09:44:00,2025-11-21 09:48:00,37.447,36.654,226,-202.35,-0.02118,止损
2025-11-21,002753.SZSE,sell,2025-11-20 09:47:00,2025-11-21 10:03:00,31.4438,30.8025,304,-219.5,-0.02039,止损
2025-11-21,300836.SZSE,sell,2025-11-20 09:36:00,2025-11-21 10:57:00,94.076,92.1909,104,-222.02,-0.02004,止损
2025-11-24,300886.SZSE,sell,2025-11-21 09:35:00,2025-11-24 09:35:00,37.3276,35.9626,226,-331.55,-0.03657,止损
2025-11-24,300825.SZSE,sell,2025-11-21 09:35:00,2025-11-24 09:35:00,15.525,15.105,599,-275.9,-0.02705,止损
2025-11-24,301171.SZSE,sell,2025-11-21 14:23:00,2025-11-24 09:36:00,40.281,39.161,229,-280.47,-0.0278,止损
2025-11-24,300818.SZSE,sell,2025-11-21 13:01:00,2025-11-24 09:40:00,65.6627,64.2557,142,-224.22,-0.02143,止损
2025-11-24,605339.SSE,sell,2025-11-21 10:32:00,2025-11-24 14:50:00,22.13,22.85,367,241.91,0.03254,尾盘平仓
2025-11-25,000953.SZSE,sell,2025-11-24 09:41:00,2025-11-25 09:35:00,21.4047,20.3236,461,-523.12,-0.05051,止损
2025-11-25,605398.SSE,sell,2025-11-24 09:36:00,2025-11-25 13:18:00,94.2952,95.53,71,68.16,0.0131,模型转空
2025-11-25,301418.SZSE,sell,2025-11-24 09:35:00,2025-11-25 13:57:00,36.329,37.389,197,188.25,0.02918,模型转空
2025-11-25,301178.SZSE,sell,2025-11-24 09:35:00,2025-11-25 14:28:00,75.1748,77.1208,100,174.71,0.02589,模型转空
2025-11-26,603992.SSE,sell,2025-11-25 09:37:00,2025-11-26 09:35:00,31.03,29.6,273,-413.87,-0.04608,止损
2025-11-26,301638.SZSE,sell,2025-11-25 14:21:00,2025-11-26 09:36:00,24.61,24.01,398,-264.02,-0.02438,止损
2025-11-26,605183.SSE,sell,2025-11-25 09:35:00,2025-11-26 10:32:00,21.11,20.88,435,-124.09,-0.0109,模型转空
2025-11-26,002659.SZSE,sell,2025-11-25 13:18:00,2025-11-26 13:21:00,12.703,13.523,782,616.16,0.06455,模型转空
2025-11-27,301408.SZSE,sell,2025-11-26 13:29:00,2025-11-27 09:35:00,17.6,16.61,489,-507.51,-0.05625,止损
2025-11-27,301520.SZSE,sell,2025-11-26 10:43:00,2025-11-27 09:36:00,42.21,41.35,211,-204.97,-0.02037,止损
2025-11-27,301111.SZSE,sell,2025-11-26 10:19:00,2025-11-27 09:52:00,22.47,21.79,391,-289.67,-0.03026,止损
2025-11-27,603590.SSE,sell,2025-11-26 09:35:00,2025-11-27 10:21:00,47.14,46.82,181,-80.94,-0.00679,模型转空
2025-11-27,301618.SZSE,sell,2025-11-26 09:48:00,2025-11-27 10:41:00,75.888,75.314,101,-79.59,-0.00756,模型转空
2025-11-28,600246.SSE,sell,2025-11-27 10:22:00,2025-11-28 09:38:00,144.1159,140.6686,66,-255.18,-0.02392,止损
2025-11-28,301552.SZSE,sell,2025-11-27 09:36:00,2025-11-28 10:35:00,53.276,53.57,154,22.83,0.00552,模型转空
2025-11-28,600149.SSE,sell,2025-11-27 11:06:00,2025-11-28 13:45:00,15.8324,15.89,622,10.85,0.00364,模型转空
2025-11-28,301002.SZSE,sell,2025-11-27 09:36:00,2025-11-28 13:56:00,41.503,41.763,217,32.77,0.00626,模型转空
